法人名称,法人番号,主たる事務所の所在地,代表者,有効期限
特定非営利活動法人子どものいのちを守る会, ,東京都新宿区矢来町123番地矢来ビル3階,村井　寅,平成19年11月1日から平成26年10月31日まで,
特定非営利活動法人日本ホルモンステーション, ,京都府京都市左京区下鵜森本町15番地財団法人生産開発科学研究所内,中尾　一和,平成19年11月1日から平成26年10月31日まで,
特定非営利活動法人アジアの新しい風, ,東京都世田谷区弦巻2丁目18番22-414号,林　雄二郎,平成21年12月1日から平成26年11月30日まで,
特定非営利活動法人アンビシャス, ,沖縄県那覇市牧志3丁目24番29号グレイスハイム喜納2（1階）,迫　幸治,平成21年12月1日から平成26年11月30日まで,
特定非営利活動法人市民オンブズマン福岡, ,福岡県福岡市中央区警固2丁目17番26-305号,児嶋　研二,平成15年12月1日から平成26年11月30日まで,
特定非営利活動法人難民を助ける会, ,東京都品川区上大崎2丁目12番2号ミズホビル7階,志邨　有紀枝,平成15年12月1日から平成26年11月30日まで,
特定非営利活動法人ふれあい自然塾, ,神奈川県相模原市西橋本1丁目16番18号,松井　利夫,平成21年12月1日から平成26年11月30日まで,
特定非営利活動法人フードバンク関西, ,兵庫県芦屋市呉川町1番15号,藤田　治,平成19年12月1日から平成26年11月30日まで,
特定非営利活動法人健康医療評価研究機構, ,東京都豊島区池袋2丁目17-2ルポゼ101,大木　孝太郎,平成22年1月1日から平成26年12月31日まで,
特定非営利活動法人JHP・学校をつくる会, ,東京都港区芝5丁目26番16号,笹平　美江子,平成16年1月1日から平成26年12月31日まで,
特定非営利活動法人日本テニスウェルネス協会, ,東京都世田谷区松原5丁目23番2号,松枝　,平成14年1月1日から平成26年12月31日まで,
特定非営利活動法人ピープルズ・ホープ・ジャパン, ,東京都武蔵野市中町2丁目9番32号,小田　晋吾,平成14年1月1日から平成26年12月31日まで,
特定非営利活動法人府中国際友好交流会, ,東京都府中市府中町2丁目2番地,内藤　和良,平成22年1月1日から平成26年12月31日まで,
特定非営利活動法人メドゥサン・デュ・モンド ジャポン, ,東京都港区東麻布2丁目6番10号,オスタン・ガエル・マリー・クリストフ,平成20年1月1日から平成26年12月31日まで,
特定非営利活動法人国境なき子どもたち, ,東京都新宿区下落合4丁目3番22号,寺田　朗子,平成22年1月16日から平成27年1月15日まで,
特定非営利活動法人子ども虐待ネグレクト防止ネットワーク, ,神奈川県伊勢原市伊勢原1丁目3番47号,山田　不二子,平成22年1月16日から平成27年1月15日まで,
特定非営利活動法人TABLE FOR TWO International, ,東京都港区赤坂9丁目6番30-308号,小暮　真久,平成22年1月16日から平成27年1月15日まで,
特定非営利活動法人CAPNA, ,愛知県名古屋市中区丸の内1丁目4番4号,高橋　昌久,平成22年2月1日から平成27年1月31日まで,
特定非営利活動法人日本アニマルトラスト, ,大阪府豊能郡能勢町野間大原117番地,甲斐　尚子,平成16年2月1日から平成27年1月31日まで,
特定非営利活動法人リブ・フォー・ライフ美奈子基金, ,東京都渋谷区広尾5丁目24番3号ハイシティ広尾Ⅰ-301,服部　克久,平成22年2月1日から平成27年1月31日まで,
特定非営利活動法人ロースクール奨学金ちゅうぶ, ,愛知県名古屋市中区丸の内3丁目20番17号,那須　國宏,平成18年2月1日から平成27年1月31日まで,
特定非営利活動法人アジア教育友好協会, ,東京都港区芝3丁目3番10号芝園オーシャンビル8階,谷川　洋,平成22年3月1日から平成27年2月28日まで,
特定非営利活動法人アフリカ野球友の会, ,東京都世田谷区松原5丁目25番21号,友成　晋也,平成22年3月1日から平成27年2月28日まで,
特定非営利活動法人えひめイヌ・ネコの会, ,愛媛県松山市石手白石118番地3,髙岸　ちはり,平成20年3月1日から平成27年2月28日まで,
特定非営利活動法人幼い難民を考える会, ,東京都文京区音羽1丁目10番4号池田ビル3階,深水　正勝,平成18年3月1日から平成27年2月28日まで,
特定非営利活動法人神奈川海難救助隊, ,神奈川県横浜市神奈川区東神奈川1丁目8番地1,信田　清治,平成22年3月1日から平成27年2月28日まで,
特定非営利活動法人サイド・バイ・サイド・インターナショナル, ,東京都世田谷区千歳台1丁目16番7号203,佐々木　浩二,平成22年3月1日から平成27年2月28日まで,
特定非営利活動法人患者の権利オンブズマン, ,福岡県福岡市東区馬出2丁目1番22号,久保井　摂,平成16年3月1日から平成20年2月29日まで平成20年3月11日から平成27年3月10日まで,
特定非営利活動法人ビー・エイチ・エヌテレコム支援協議会, ,東京都台東区上野5丁目24番11号NTT上野ビル,藤田　聰,平成22年3月16日から平成27年3月15日まで,
特定非営利活動法人マナーキッズプロジェクト, ,東京都杉並区高円寺北3丁目22番3号デルコホームズ,田中　日出男,平成22年3月16日から平成27年3月15日まで,
特定非営利活動法人三重いのちの電話協会, ,三重県津市栄町2丁目434番地,鈴木　秀昭,平成22年3月16日から平成27年3月15日まで,
特定非営利活動法人npoやまと, ,奈良県大和高田市大字大中76番地,西田　先作,平成22年4月1日から平成27年3月31日まで,
特定非営利活動法人環境リレーションズ研究所, ,東京都千代田区神田錦町1丁目27番4号,伊東　敦子,平成22年4月1日から平成27年3月31日まで,
特定非営利活動法人蔵前バイオマスエネルギー技術サポートネットワーク, ,東京都目黒区大岡山2丁目12番1号東工大蔵前会館4階,吉川　浩,平成20年4月1日から平成27年3月31日まで,
特定非営利活動法人国際インフラパートナーズ, ,東京都新宿区馬場下町1番地1早稲田SIAビル,小室　彬,平成22年4月1日から平成27年3月31日まで,
特定非営利活動法人国際ビフレンダーズ東京自殺防止センター, ,東京都新宿区大久保3丁目10番1号,加藤　勇三,平成20年4月1日から平成27年3月31日まで,
特定非営利活動法人多言語社会リソースかながわ, ,神奈川県横浜市神奈川区鶴屋町3丁目30番1号神奈川県農業機械会館5階3号室,松野　勝民,平成20年4月1日から平成27年3月31日まで,
特定非営利活動法人チャイルド・ファンド・ジャパン, ,東京都杉並区善福寺2丁目17番5号,髙田　和彦,平成21年4月1日から平成27年7月31日まで,
特定非営利活動法人東京盲ろう者友の会, ,東京都台東区浅草橋1丁目32番6号コスモス浅草橋酒井ビル,藤鹿　一之,平成20年4月1日から平成27年3月31日まで,
特定非営利活動法人日本口唇口蓋裂協会, ,愛知県名古屋市千種区末盛通2丁目11番地愛知学院大学歯学部,川口　文夫,平成22年4月1日から平成27年3月31日まで,
特定非営利活動法人ピースウィンズ・ジャパン, ,広島県神石郡神石高原町近田1161-2,大西　健丞,平成22年4月1日から平成27年3月31日まで,
特定非営利活動法人イーパーツ, ,東京都世田谷区三軒茶屋2丁目55番8号,佐々木　良一,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人ACE, ,東京都台東区東上野1丁目6番4号あつきビル3階,尾上　由香,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人世界遺産長崎チャーチトラスト, ,長崎県長崎市元船町17番1号財団法人ながさき地域政策研究所内,福地　茂雄,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人全国骨髄バンク推進連絡協議会, ,東京都千代田区東神田1丁目3番4号KTビル3階,野村　正満,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人地球ボランティア協会, ,兵庫県芦屋市船戸町3番25号502,稲畑　汀子,平成22年4月16日から平成27年4月15日まで,
NPO法人ハッピーマンマ, ,福岡県福岡市南区野多目1丁目12番15-203号,大野　真司,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人ふるさと東京を考える実行委員会, ,東京都江戸川区中葛西6丁目7番12号ビッグバン株式会社内,関口　雄三,平成22年4月16日から平成27年4月15日まで,
特定非営利活動法人ヴォース・ニッポン, ,神奈川県小田原市栄町1丁目18番7号エムズタワー1001,中島　直彦,平成20年5月1日から平成27年4月30日まで,
特定非営利活動法人きょうとグリーンファンド, ,京都府京都市下京区五条高倉角堺町21番地事務機のウエダビル206,板倉　豊,平成20年5月1日から平成27年4月30日まで,
特定非営利活動法人くびき野エヌピーオーサポートセンター, ,新潟県上越市西城町2丁目3番9号,秋山　三枝子,平成20年5月1日から平成27年4月30日まで,
特定非営利活動法人世界アマチュアオーケストラ連盟, ,愛知県豊橋市立花町46番地光陽ビル3階,神野　信郎,平成22年5月1日から平成27年4月30日まで,
特定非営利活動法人高木仁三郎市民科学基金, ,東京都新宿区四ツ谷1丁目21番戸田ビル4階,河合　弘之,平成18年5月1日から平成27年4月30日まで,
特定非営利活動法人難民支援協会, ,東京都新宿区四谷1丁目7番地,伊藤　えり,平成20年5月1日から平成27年4月30日まで,
特定非営利活動法人日本ガーディアン・エンジェルス, ,東京都中央区新川1丁目29番13号永代橋エコピアザビル地下1階,小田　啓二,平成14年5月1日から平成27年4月30日まで,
特定非営利活動法人阪神淡路大震災一一七希望の灯り, ,兵庫県神戸市北区星和台5丁目27番地の35,上西　勇,平成22年5月1日から平成27年4月30日まで,
特定非営利活動法人ワールド・ビジョン・ジャパン, ,東京都中野区本田1丁目32番2号,原　寛,平成14年5月1日から平成27年4月30日まで,
特定非営利活動法人グリーフケア・サポートプラザ, ,東京都港区赤坂9丁目2番6号カルム第2赤坂103,加藤　勇三,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人原子力資料情報室, ,東京都新宿区住吉町8番5号曙橋コーポ2階B,伴　英幸,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人国際子ども権利センター, ,東京都台東区東上野1丁目20番6号丸幸ビル3階,甲斐田　万智子,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人生態工房, ,東京都武蔵野市吉祥寺本町4丁目9番地22号フラットK101,安部　邦昭,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人日本を美しくする会, ,東京都世田谷区池尻2丁目37番12‐701号,田中　義人,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人花岡平和記念会, ,秋田県大館市豊町2番37号,川田　繁幸,平成20年3月1日から平成22年2月28日まで平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人パレスチナ子どものキャンペーン, ,東京都豊島区目白3丁目4番5号アビタメジロ603号,北林　岳彦,平成22年5月16日から平成27年5月15日まで,
特定非営利活動法人ラオスのこども, ,東京都大田区南馬込6丁目29番12号,森　透野口　チャンタソン,平成22年5月16日から平成27年5月15日まで,
認定NPO法人IVY, ,山形県山形市荒楯町1丁目17番40号,枝松　直樹,平成20年6月1日から平成27年5月31日まで,
特定非営利活動法人霧多布湿原ナショナルトラスト, ,北海道厚岸郡浜中町仲の浜122番地,三膳　時子,平成16年6月1日から平成27年5月31日まで,
特定非営利活動法人山友会, ,東京都台東区清川2丁目32番8号,大脇　甲哉,平成20年6月1日から平成27年5月31まで,
特定非営利活動法人日本地雷処理を支援する会, ,東京都新宿区市谷本村町3番18号エムズビル5階,荒川　龍一郎,平成20年6月1日から平成27年5月31まで,
特定非営利活動法人日本文字文化機構, ,京都府京都市右京区常磐下田町20番地グランドパレスもと庄屋209号室,宇佐美　慈子,平成18年6月1日から平成27年5月31まで,
特定非営利活動法人ハートフル福祉募金, ,宮城県仙台市太白区郡山8丁目2番28号,佐藤　隆雄,平成22年6月1日から平成27年5月31まで,
特定非営利活動法人みやぎ発達障害サポートネット, ,宮城県仙台市青葉区花京院1丁目4‐1,相馬　潤子,平成22年6月1日から平成27年5月31日まで,
特定非営利活動法人メイあさかセンター, ,埼玉県朝霞市本町2丁目7番17号,尾池　富美子,平成18年6月1日から平成27年5月31日まで,
特定非営利活動法人金融知力普及協会, ,東京都中央区日本橋1丁目4番1号,金子　昌資,平成22年6月16日から平成27年6月15日まで,
特定非営利活動法人東京コミュニティスクール, ,東京都中野区中野1丁目62番10号,久保　一之,平成22年6月16日から平成27年6月15日まで,
特定非営利活動法人Peace Field Japan, ,東京都千代田区神田神保町1丁目8番地第二野口ビル3B,村橋　靖之,平成22年6月16日から平成27年6月15日まで,
特定非営利活動法人茨城エヌ・ピー・オー・センター・コモンズ, ,茨城県水戸市梅香2丁目1番39号茨城県労働福祉会館2階,斎藤　義則,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人黄河の森緑化ネットワーク, ,兵庫県神戸市中央区市下山手通2丁目12番11号神戸華僑会館,石　嘉成,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人国連ウィメン日本協会, ,神奈川県横浜市戸塚区上倉田町435番地1,酒井　喜子,平成20年7月1日から平成27年6月30日まで,
特定非営利活動法人コスモスとよた, ,愛知県豊田市寿町2丁目14番地1,市川　睦美,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人シェア国際保健協力市民の会, ,東京都台東区東上野1丁目20番地6号丸幸ビル5階,本田　徹,平成20年7月1日から平成27年6月30日まで,
特定非営利活動法人世界の子どもにワクチンを日本委員会, ,東京都港区三田4丁目1番9号,細川　佳代子,平成18年7月1日から平成27年6月30日まで,
特定非営利活動法人地球市民の会, ,佐賀県佐賀市高木町3番10号,山下　雄司,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人飛んでけ車いすの会, ,北海道札幌市中央区北二条西28丁目2番8号,佐藤　正尋,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人長崎在宅Dr.ネット, ,長崎県長崎市馬町21番地1,藤井　卓,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人長野犯罪被害者支援センター, ,長野県長野市大字南長野字幅下692番地2号,山田　千代子,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人日本雲南聯誼協会, ,東京都新宿区市谷左内町21番31号,初鹿野　恵蘭,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人日本ハビタット協会, ,東京都千代田区麹町1丁目12番地ふくおか会館1階,中村　徹,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人ファミリーハウス, ,東京都千代田区神田須田町1丁目13番地5,江口　八千代,平成22年7月1日から平成27年6月30日まで,
特定非営利活動法人ふくしまNPOネットワークセンター, ,福島県福島市置賜町1番29号,星野　瑛二,平成20年7月1日から平成27年6月30日まで,
特定非営利活動法人平和のための戦争メモリアルセンター設立準備会, ,愛知県名古屋市名東区よもぎ台2丁目820番地,森嶌　昭夫,平成18年7月1日から平成27年6月30日まで,
エフ・オー・イー・ジャパン, ,東京都板橋区小茂根1丁目21番9号,ヘルテン・ランダル・アラン石田　信男三柴　淳一,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人大阪精神医療人権センター, ,大阪府大阪市北区西天満5丁目9番5号谷山ビル9階,位田　浩大槻　和夫,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人おかやまエネルギーの未来を考える会, ,岡山県岡山市北区南方1丁目6番7号,廣本　悦子,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人才の木, ,東京都文京区向丘1丁目1番17号タカサキヤビル4階,福島　和彦,平成22年7月16日から平成27年7月15日まで,
NPO法人サポート, ,東京都目黒区東山1丁目15番8号,中尾　雅,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人宍塚の自然と歴史の会, ,茨城県つくば市上ノ室292番地5,及川　ひろみ,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人持続可能な開発のための教育の10年推進会議, ,東京都荒川区西日暮里5-38-5日能研ビル201,重　政子,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人創を考える会・北九州, ,福岡県北九州市小倉北区下到津1丁目2番1号U&Iビル303号室,岡野　正敏,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人タヤマ実践カレッジ, ,神奈川県横浜市栄区小菅ヶ谷2丁目21番18号,矢崎　哲也,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人地球の木, ,神奈川県横浜市中区不老町1丁目3番3号,丸谷　士都子,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人日本グッド・トイ委員会, ,東京都新宿区四谷4丁目20番1号,多田　千尋,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人日本紛争予防センター, ,東京都文京区関口1丁目35番20号,瀬谷　ルミ子,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人日本レスキュー協会, ,兵庫県伊丹市下河原2丁目2番13号,伊藤　裕成,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人皮膚病理発展推進機構, ,北海道札幌市北区北十八条西3丁目2番21号,安齋　眞一,平成22年7月16日から平成27年7月15日まで,
特定非営利活動法人日仏芸術文化協会, ,東京都目黒区中根2丁目19番2号,谷口　恵津子,平成20年8月1日から平成27年7月31日まで,
特定非営利活動法人ジャパン・プラットフォーム, ,東京都千代田区麹町3-6-5麹町GN安田ビル4階,有馬　利男,平成18年9月1日から平成27年8月31日まで,
特定非営利活動法人100万人のふるさと回帰・循環運動推進・支援センター, ,東京都千代田区有楽町2丁目10番1号東京交通会館6階604・605,田中　美枝子,平成18年9月1日から平成27年8月31日まで,
特定非営利活動法人日本ナルコレプシー協会, ,東京都新宿区赤城下町44番株式会社陽成社内,白倉　昌夫,平成22年9月16日から平成27年9月15日まで,
特定非営利活動法人分水さくらを守る会, ,新潟県燕市上諏訪10番16号,村上　謹一,平成22年9月16日から平成27年9月15日まで,
特定非営利活動法人恵まれない子供達の自立を支援する会, ,千葉県佐倉市西志津2丁目15番36号,神谷　光徳,平成22年9月16日から平成27年9月15日まで,
特定非営利活動法人こども医療ネットワーク,法人番号6340005002092,鹿児島県鹿児島市桜ヶ丘8丁目35番1号鹿児島大学病院小児診療センター小児科,河野　嘉文,平成22年10月1日から平成27年9月30日まで,
特定非営利活動法人難病のこども支援全国ネットワーク,法人番号6010005005541,東京都文京区本郷1丁目15番4号文京尚学ビル6階,小林　信秋,平成21年2月1日から平成27年9月30日まで,
特定非営利活動法人日本政治総合研究所,法人番号4010905001963,東京都世田谷区大原1丁目16番16-207号,白鳥　令,平成21年1月1日から平成27年9月30日まで,
特定非営利活動法人劇団三喜,法人番号5350005003990,宮崎県都城市志比田町4930番地5リアンシビタ101号,冨永　千鶴子,平成22年10月16日から平成27年10月15日まで,
特定非営利活動法人日本アマチュア演奏家協会,法人番号5011105003865,東京都新宿区歌舞伎町2丁目6番16号パレドール歌舞伎町第二201号,中馬　脩,平成22年10月16日から平成27年10月15日まで,
特定非営利活動法人日本ネパール女性教育協会,法人番号4010005008810,東京都文京区向丘1丁目19番1号文京学院大学,山下　泰子,平成22年10月16日から平成27年10月15日まで,
特定非営利活動法人 いもむし,法人番号2040005014213,千葉県柏市箕輪358番地1,吉田　登美子,平成22年11月1日から平成27年10月31日まで,
NPO法人JKSK女性の活力を社会の活力に,法人番号8011005001322,東京都世田谷区赤堤1丁目11番15号,大和田　順子,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人瀬戸内オリーブ基金,法人番号7470005005049,香川県小豆郡土庄町豊島家浦3837番地4,岩城　裕,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人チャリティー・アソシエーション,法人番号1010005012591,東京都中央区銀座1丁目14番5号,小栗　夏生,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人DNA鑑定学会,法人番号4020005006499,神奈川県横浜市神奈川区金港町5番地32ベイフロント横浜,五條堀　孝,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人名古屋青少年活動支援ネット,法人番号3180005006237,愛知県名古屋市名東区大針3丁目36番地,犬飼　亨,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人ロースクール奨学金広島,法人番号7240005003083,広島県広島市中区上八丁掘2番66号,増田　義憲,平成22年11月1日から平成27年10月31日まで,
特定非営利活動法人川口市民環境会議,法人番号8030005012682,埼玉県川口市本町4丁目13番11-1403号東急ドエルデュオプラザ川口弐番館橋本泰孝内,浅羽　理恵,平成22年11月16日から平成27年11月15日まで,
特定非営利活動法人全国被害者支援ネットワーク,法人番号2010005010677,東京都文京区本郷2丁目14番地10,平井　紀夫,平成22年12月1日から平成27年11月30日まで,
特定非営利活動法人高麗博物館,法人番号2011105001896,東京都新宿区大久保1丁目12番1号第二韓国広場ビル,原田　京子,平成21年1月1日から平成27年12月31日まで,
